id,totalMinedBlocks,totalRewards
qzmu2UxAm4JH9CjMLx3yVnPJGrwbq6iJmKq6ZominTXjmSDEN,53704,535020324406211696
qzmc7PZeKBhFPF2eUfcGgSqSLafPCjVXW8qTjMpNu7gQB3iTj,31889,318700028523679757
qzoJT7eJRBG44EWRuL8MsZGvXKALkzykkfy7AmYYPbGWWNpe6,27659,276480016513807334
qznBscoqfgchvYUUYCY6o8f8HsJWNvU9SC3DKMvoLu438Hrmu,27337,273260016362702351
qznrsyqc3HEkGy93HxZttNbBtia1nd9UDy5D8HrgfTTqRRnHv,26204,261450088392576320
qzq13T533TiW4esoLg7ZRrsiVeGS9k8pKHERiJTAAuj4uJdvJ,23319,232220164950415339
qzmre1UiD9iAzP1fHZq3DyXprfDupoVNFDAJRF6edPDmwjEbR,15792,156040437168817719
qzoRp2XbwmtP6cb1khkd8gSzp88XLWQnwUHcghX8PtRALSB5U,15159,150220204958806576
qzo84V7Ssq7Z3GS1oLVwQ59cByk6bCGvK15EjWrt85AMNqYNt,11863,118320056585049819
qzoye6zPEeJz8mxCar3Q1oiN2xpjFf47jvCVoMjjzuFTw9Dsp,10404,102850177224240185
qzoQf4od1mzuTa5AT9R8cbEUxQkyEiqGJyKfq8ZWcK9fTLCmh,9408,92970207760354631
qznhpVShWsRqhp4g4KVnD82AGdwQo5EVZp9fqdmUAJBLSyCeW,8412,83861031865799530
qzn6C9EKUpuNPm5qbe5jSq7uiCHV7ruixuzNM4DQQQGZxe2du,8035,79460614984327815
qzprTjCZMGh9P76yJBKWFv5QeAdJ1buqmMtsmCS3uTXpoopWS,6312,62420183781914608
qzo8VqpTojHapSvjwdLqze3GebmfAGS4Nq6rTnRsjR2S8u9mA,6296,62130144250658395
qzmNCqKCCLk51kY5dHkuMHrK89pdTLWspnxodoVX3ETMGaXUQ,5751,57180051379054734
qzjxCJfheVUxLEZto56T6v4cKT5i4PTqHWYssDE6Sfyy6xwcS,4275,42050764752161292
qznJ6gdt21ezvLxdYw3iAUjqHEW1FAWMT3U8PtDtnhgPG21nB,4124,41080023609919877
qzpJfFKE5ByDBqjcRgYBieKedPrhivsmH13VRUCrdXtsPLdFK,3527,35140039466249259
qzpxE7g7vRq8hGxbD7rESVGGvM5Q7CJypTwzvoEoeDEGB2azL,3503,34850037501164836
qzotCmuA9SRD5aqWzYnFAeSE9N8FhhhgnKQG4mu4h66kc1YYm,3122,31120015942525379
qzkKG6BoZdXG4MYTVEmjAumrSoja2MZ6gFNm9C9e354wmtEsh,1902,18940011794152407
qzngmjcJaBFwWQQEHCZP5VUudKGmSS89tXX5WGHK9cGoTZYhA,1574,15680018705659860
qzjcfckdrUxQPjR91qEwYgEzu7rYDcfQTXy8gyddAoPnQqs4g,1545,15380010508724121
qzm99pG17NMSEF81Vmbt7dohv4rECY2cuNA6sJYhgQ24V6pGk,1399,13970003002590605
qzkiLYEGwcobt6ogFEzi3stiSGy16KUPEwTbRLxL4AWr4oZvN,1310,13040008835864836
qzomTLVbRsnPgvBiNvLuTHtgQyhEkeePfVjo2zhhBZUKwbUxb,1031,10280004503738909
qzjn7bCMVceeJu3hp6cVwKZEJUoPWa3MMCsP53NL1hkYiwSLh,1024,10110020758728254
qzpu6CPrW4Mr6zYaeHj35DPybCr2d5DBN5eeq5e5RJ9KPkJWG,932,9300002851485624
qzm8CnymCRcPffm1kANqHEJh957AHh35pZUGziy1so2CF6oPy,922,9140011901963417
qzpQzhLXucwBenDb28t8mo6eh2CtFuhJTHw41oVWUwq5TNzp8,781,7790003002492606
qzozH5LezSn1XQ9k7Ezci6p4xK9J8GcjjeXPG8DwvFRzqKzaf,756,7550001501246302
qzoyznFQSeNY5BGvVfUYjwB2s2QSYEDsQjxTWvNHCCq6x98Mt,678,6750004352731927
qzmZjkjgi34cba1892dthL38R3JGn9aVEJsDwnbSSwuEs338v,670,6680003002688607
qznJvq82Ggw3WrF9jMvc7FJoefUGgYuf6isztg9o6dZSFHd6Y,631,6300001393239295
qzpVVgF1MDnTpK1h1QrcwKD4raFrVuC3GKApKqkr5TWQFBVaW,621,6080019516201939
qzqCwUhocvzFG2jPFGvnAve5o5CHmsRfTaxszuxqvyhapQrCE,570,5690001501246303
qznd1YWbgQrviV76psu5n8d24mHSuHtAc9JmJLB42gTELksvQ,511,5110000000000000
qzmjyKbuq7vzwSAu23BhSwTzLe3DDfjWK56Q4EfnFmeuV6rw2,426,4220005552062266
qzmzbkwmcPzNnGrTxUdWw2wqKK6AwEdwTfeEXbsLd64NApyDR,424,4230001501344302
qzokF78eWPn8WbzmkMpWRYr9ZYxtsDKvLtxQMyDrjcqjjMqng,386,3820006004985212
qzkM2uGCcpMBu9WsFRbTJWAv2RoJr1BNoUEzNauhFTQD57iYg,378,3780000000000000
qznxQ9gQ7ryCusigg8ymTo6PW6SM99NF9zZVhCXEabgWCb5ze,360,3600000000000000
qzoAS8uWhKUMbJG7mJfwBScAXhkG8SUpcBGE4nRP634w6d5cY,332,3290004503836908
qzp84JYcwf5vhAK6nKAQ1AEqXAb71i1qm7QYBLd4xzwuaoKkN,332,3310001501246303
qzmb7zkTNRg3koUdcAuJxaUREm7T6dQwxm6oBqX2kZjPzfLsE,276,2740002851583624
qzmiN6K6FoYzuroPKzfr8bLTbZBpHfmnsGm3EXNEAdPD57qon,230,2280002851485624
qzmYASZdMiitqjY4DzeaTg4pKh4GCg63VF7oUthGMEEq1BejD,209,2090000000000000
qzmHLozQpHFMxuqv7wJFvzres4LfNSJQ6xKU3vRFAttFw7EkY,169,1650005703069248
qzjxpUHFK2uS9VMwQduyAVMAduWQviJ2ACbeLHKc8yhQFZYTD,167,1660001501246303
qzjYjaTQZSz41QYRyf58LtR1RSqktkwwQdvDbb5d2kDG7HNMv,153,1530000000000000
qzn4BajdypPBSoGYCKJvMV1w8ggUgQvhekay1hkiTpiYWjtD1,132,1320000000000000
qzqAEqE34ZYg7sC5b7Y5kKaRkcYhYDSGfgBtBjTJeizuy3wBH,106,1040003002590606
qzmZkaiQKnfSAPkn8dekCFWisHtCCuZTYWaZmUD87t126ehLW,97,920007204315551
qzjfz14hQTAcv4ErDgKuhYbUdXGqvN5gYCARwvA5hKQzM4nJZ,95,930003002492606
qzmB2SKjunKRcQzYzecf4xbFjRHWpc6euWBj6qVCqMi1quEPm,80,790001501344304
qzkgaH2uFc9n1ZMHGZ2NxELBeJxp62tktsnX2s6LDZxjtSiSC,75,750000000000000
qzpsMcVZLViR2Zr3RywU6wPPQrz5CU2R92buHNatuaqyMRran,65,650000000000000
qzpkgwF83WrNb2rM7WXUTG6V5SZLGUzN4QLVXi2dDcuuBsxYU,61,600001501344303
qzmRxHJSv5v8U9AjhcKQw6snjmLY2ZaJ5Bxr72iYYXWi1xT9e,51,510000000000000
qzjvS5v1YYZ18f3SfeMrjMBUJgRTn48fzcLdPst94J4Q2J7hz,49,490000000000000
qzjWn2JcqBs4ttYWrtmZFS4jpkXgfa876TRrA1uscyU6YeLwT,46,450001501344302
qzmimGidKhhszaVeVhnNufcKQQU1QTieya1AzL8xSMHNAY7G4,38,380000000000000
qzmrdGsRW6WpEr8iHgdhxcYo7FvPrU9mH9WJf8qZ2VUZHDYHJ,37,370000000000000
qzniXds4ZVN66LfKrrqQmrNLe2S8UraqiwiF1F5x7CykpeLFy,32,320000000000000
qzo7xakq5DVCNdUTudPgAR71W1onYSjQuStoNJnKev6FwxT1L,32,320000000000000
qzka5PoygCZ6U8XH71hnGi3sUeqZya3BvJUALbAT3zSKoykiz,32,320000000000000
qznhaQE7tJZtrMhAKWXbzrRnskfakNBNYgVoMVYc8mNkHCSMk,28,280000000000000
qzpAK583igoJbAFGjVKMF2GW8piywbkQDSDYXbZ2mnmjj1WPs,21,210000000000000
qzn6iLjTGrSwHsafAK7pRdcLnz3FR9nivW6sz2D9BscxMnpok,19,190000000000000
qzkZytUkY41CCJ38epkZ8ekAvbqrqibLTWxWy7FHAMvJTB9Ei,19,190000000000000
qzoBUt2hhkYTv4q5kwWApstheRqrDxfuzZpgte9W6L4h4GpmL,16,160000000000000
qzoz5SYKo5BJbeQSNqWHEiNJ23XTs5qNqxVyC8Ua4tx56F7Rn,12,110001501246303
qznQ7MPYioe2ohtPN6EWpKa89UAt8bZ8SHwjyAMe51SCXZK4n,12,120000000000000
qzoXUT2nF4kRShWquywxay57SQwMr9n78aUn2j8Eg1NeW3rDe,11,70008748659826
qzmqfu2zk1ef6GeFnS8aNHvYuFhi62YXXt86nunYNxj433pv1,10,90001350239321
qznwx81CwCNomZy8jC8M95kfEtxCv9oosUhmD2BbyLKMCspN5,9,90000000000000
qzo6KH3v6tujBYcmZ39PfEzA8Q2qX1j9r4u5b5L7yse7k7pJs,9,90000000000000
qzmBAHgFaqHMCrSEPtJg7PcnvAjjyZmcCzPfTuQJqTKSsgETp,8,70001501246303
qzng3GPNkC9aq7qQhBKNEAnjdtq6QWQDVpRmXvbkU6eRyhT3Z,7,50004244724919
qzk4s4DdWzQMjaYg2p1cAtjPJxQQW1cWKFXjo1rae4xWR2pfd,7,70000000000000
qzjjifC2KMrYMFVjUoAwjvURRNoudZFMD9XCbfRvGeyK5dDiH,5,50000000000000
qzp5d9h4Cjv6kBFQ5HXnHXVqSCVceMpXkp1E1qvRayo344Yi4,5,50000000000000
qzjh6EaaA3PEQZF6HRmLrxQRDA4FDJweP5wYEYTQjWx7rWN5v,5,50000000000000
qzpzyGesbhY7G5n1pXq1mhSc1qs5K23oBLzHST4U85zPw9P7N,5,50000000000000
qzmBB9bheoaW5AkruaEhVSPRAgxnu9Wfq4FwFGnJnTLHt9a7b,5,50000000000000
qzo7wGwtVYVeZ9LEgiA94gH3JbWfgr1ZqDQdEuoR9iN9k3vm7,5,50000000000000
qznKMfamaZcnqumUWYyRaNSCWkryPk1GMC5NtTrzwqwAwa7cZ,4,40000000000000
qzm21sP93FbrYCtTp1LrQDfs6quxBebPg495AZKa1ZRRfnszh,4,40000000000000
qzoEVkv7YwtA1FfqgTVi3shAeXwF4bCZm6jxYMkvjjDjhsG2y,3,30000000000000
qzmrw5DXoBE6LBvXGRRTdAHobGBTXGjitLw6wCXEuQE8a3fgi,3,30000000000000
qzpAb6dsFo2UXREMEvFL3ZLFmi5WoeJEq28m3HDVwsfBrzviR,3,30000000000000
qzpj4w2G2jmVGTb5UuiZ6TVvJtaQpJsbQ14o4AEUHt6vjJrQo,2,20000000000000
qzm84pWDU2AtnVTHpVDC7mD2qTRxC3Q1zYuYDEEHTyW1sjjSF,2,20000000000000
qzq3VLu6DHcWDtWRAqWXtTkDMPqz4BdJNvy3e7SYaqhZX49PQ,2,20000000000000
qzmGYbF9Qm3yykU1MR3nXQDyhHaS8SnXwk8Fd2y8UkM2aWTbG,1,10000000000000
qzjWXQK7tV1zVxW3XaKNsK5HdJUteLXZuGC2o3i2X3kVJ2zqJ,1,10000000000000
qzpXEJTTtSvWMqKVLhfwVXW9qkXEftZBdzz92hf5QnxVvtqV1,1,10000000000000
qzpjuAv3XbYjiW8Lw6RjxCFwkZzypr5TaMLvkQfuNVEigTAns,1,10000000000000
